epoch	test_success_rate	ep_return	test_ep_return	ep_length	test_ep_length	total_timesteps	loss_pi	loss_q	time_elapsed	iteration_time
131	0.3	-0.0567647	-0.42399997	29.970589	62.8	130999	-0.14373386	0.018138602	9241.26616216	0.04722594
132	0.0	-0.76500005	-1.0	54.833332	100.0	131999	-0.16591169	0.028367173	9322.15330815	0.051032227
133	0.3	-0.11903843	-0.735	18.615385	34.5	132999	-0.2346706	0.028690208	9387.66541004	0.05279422
134	0.0	-0.6457142	-1.0	72.21429	100.0	133999	-0.22781873	0.019041559	9469.74158311	0.049547967
135	0.0	-0.7172727	-1.0	90.09091	100.0	134999	-0.19319068	0.016695809	9556.60977197	0.052112013
136	0.0	-0.96900004	-1.0	96.9	100.0	135999	-0.16591424	0.016552975	9642.14790797	0.054356385
137	0.2	-1.0	-1.032	100.0	83.8	136999	-0.14047615	0.015477696	9724.5687871	0.053297173
138	0.8	-0.59000003	0.39499998	82.30769	41.3	137999	-0.11693641	0.015250011	9791.69945312	0.053445682
139	0.5	-0.034999993	-0.09299998	45.0	30.1	138999	-0.10165487	0.0149651	9852.65852499	0.051507056
140	0.2	-0.3717647	-0.621	55.35294	82.3	139999	-0.09749594	0.015487203	9930.77200794	0.050198764
141	0.4	-0.27153844	-0.262	39.423077	36.9	140999	-0.103811495	0.016928589	9993.80450296	0.0524735
142	0.4	0.06111112	-0.21599999	55.61111	62.0	141999	-0.13918386	0.019825146	10063.809715	0.051928636
143	0.0	-0.72727275	-1.0	91.09091	100.0	142999	-0.166949	0.016962685	10146.3097701	0.051203277
144	0.0	-0.971	-1.0	97.1	100.0	143999	-0.19273596	0.016164135	10223.2326372	0.04826072
145	0.0	-1.0	-1.0	100.0	100.0	144999	-0.21395607	0.016311813	10297.504539	0.04736528
146	0.3	-0.6430769	-0.84	80.0	64.8	145999	-0.22470812	0.015984986	10366.8408182	0.049155302
147	0.3	-0.4452941	-0.64	56.882355	74.5	146999	-0.20714487	0.014194737	10440.867907	0.050197907
148	0.2	-0.04055556	-0.609	60.166668	81.1	147999	-0.16926037	0.013891537	10515.812665	0.050146997
